Series,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
PISA: Mean performance on the science scale,LO.PISA.SCI,Denmark,DNK,501.9369,..,..,492.637033350974,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Djibouti,DJI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Dominica,DMA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Dominican Republic,DOM,331.6388,..,..,335.629946557719,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Early-demographic dividend,EAR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,East Asia & Pacific,EAS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Ecuador,ECU,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,El Salvador,SLV,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Equatorial Guinea,GNQ,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Eritrea,ERI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Estonia,EST,534.1937,..,..,530.108004621743,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Eswatini,SWZ,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Ethiopia,ETH,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Euro area,EMU,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Europe & Central Asia,ECS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,European Union,EUU,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Faroe Islands,FRO,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Fiji,FJI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Finland,FIN,530.6612,..,..,521.88456314354,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Fragile and conflict affected situations,FCS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,France,FRA,494.9776,..,..,492.977076058355,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,French Polynesia,PYF,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Gabon,GAB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Gambia, The",GMB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Georgia,GEO,411.1315,..,..,382.663606351912,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Germany,DEU,509.1406,..,..,502.9889028235,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Ghana,GHA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Gibraltar,GIB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Global Partnership for Education,FTI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Greece,GRC,454.8288,..,..,451.632741646629,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Greenland,GRL,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Grenada,GRD,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Guam,GUM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Guatemala,GTM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Guinea,GIN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Guinea-Bissau,GNB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Guyana,GUY,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Haiti,HTI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,High income,HIC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Honduras,HND,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Hong Kong SAR, China",HKG,523.2774,..,..,516.686129547221,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Hungary,HUN,476.7475,..,..,480.911693882286,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,IBRD only,IBD,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Iceland,ISL,473.2301,..,..,475.024106333758,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,IDA & IBRD total,IBT,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,IDA blend,IDB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,IDA only,IDX,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,IDA total,IDA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,India,IND,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Indonesia,IDN,403.0997,..,..,396.070054650601,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Iraq,IRQ,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Ireland,IRL,502.5751,..,..,496.113561872584,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Isle of Man,IMN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Israel,ISR,466.5528,..,..,462.196632753733,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Italy,ITA,480.5468,..,..,468.011727891513,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Jamaica,JAM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Japan,JPN,538.3948,..,..,529.135433770821,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Jordan,JOR,408.6691,..,..,429.252073733676,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Kazakhstan,KAZ,456.4836,..,..,397.104835281035,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Kenya,KEN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Kiribati,KIR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Korea, Rep.",KOR,515.8099,..,..,519.007254581204,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Kosovo,XKX,378.4422,..,..,364.882407737958,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Kuwait,KWT,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Kyrgyz Republic,KGZ,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Lao PDR,LAO,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Late-demographic dividend,LTE,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Latin America & Caribbean,LCN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Latvia,LVA,490.225,..,..,487.250588357622,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Least developed countries: UN classification,LDC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Lebanon,LBN,386.4854,..,..,383.71699371009,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Lending category not classified,LNX,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Lesotho,LSO,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Liberia,LBR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Libya,LBY,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Liechtenstein,LIE,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Lithuania,LTU,475.4089,..,..,482.067012570461,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Low & middle income,LMY,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Low income,LIC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Lower middle income,LMC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Luxembourg,LUX,482.8064,..,..,476.769406208825,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Macao SAR, China",MAC,528.5496,..,..,543.585733723951,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Madagascar,MDG,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Malawi,MWI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Malaysia,MYS,442.9475,..,..,437.61807367156,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Maldives,MDV,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Mali,MLI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Malta,MLT,464.7819,..,..,456.590322781799,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Marshall Islands,MHL,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Mauritania,MRT,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Mauritius,MUS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Mayotte,MYT,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Mexico,MEX,415.7099,..,..,419.204719582484,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Middle East & North Africa,MEA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Middle income,MIC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Moldova,MDA,427.9978,..,..,428.485266806617,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Monaco,MCO,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Mongolia,MNG,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Montenegro,MNE,411.3136,..,..,415.172231156272,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Morocco,MAR,..,..,..,376.596889264975,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Mozambique,MOZ,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Myanmar,MMR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Namibia,NAM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Nauru,NRU,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Nepal,NPL,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Netherlands,NLD,508.5748,..,..,503.383819750007,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Netherlands Antilles,ANT,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,New Caledonia,NCL,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,New Zealand,NZL,513.3035,..,..,508.490721422843,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Nicaragua,NIC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Niger,NER,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Nigeria,NGA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,North America,NAC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,North Macedonia,MKD,383.6824,..,..,413.044673632074,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Northern Mariana Islands,MNP,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Norway,NOR,498.4811,..,..,490.413149272607,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,OECD members,OED,..,..,..,488.662377484584,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Oman,OMN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Other small states,OSS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Pacific island small states,PSS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Pakistan,PAK,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Palau,PLW,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Panama,PAN,..,..,..,364.623772485532,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Papua New Guinea,PNG,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Paraguay,PRY,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Peru,PER,396.6836,..,..,404.215601330196,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Philippines,PHL,..,..,..,356.933323619256,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Poland,POL,501.4353,..,..,511.035561794169,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Portugal,PRT,501.1001,..,..,491.677328515614,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Post-demographic dividend,PST,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Pre-demographic dividend,PRE,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Puerto Rico,PRI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Qatar,QAT,417.6112,..,..,419.127154883249,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Romania,ROU,434.8849,..,..,425.761227085172,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Russian Federation,RUS,486.631,..,..,477.717679762959,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Rwanda,RWA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Samoa,WSM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,San Marino,SMR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sao Tome and Principe,STP,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Saudi Arabia,SAU,..,..,..,386.246144966173,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Senegal,SEN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Serbia,SRB,..,..,..,439.873889462623,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Seychelles,SYC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sierra Leone,SLE,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Singapore,SGP,555.5747,..,..,550.936899986808,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Slovak Republic,SVK,460.7749,..,..,464.047578343491,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Slovenia,SVN,512.8636,..,..,507.006545970774,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Small states,SST,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Solomon Islands,SLB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Somalia,SOM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,South Africa,ZAF,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,South Asia,SAS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,South Sudan,SSD,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Spain,ESP,492.7861,..,..,483.252042725488,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sri Lanka,LKA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,St. Kitts and Nevis,KNA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,St. Lucia,LCA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,St. Martin (French part),MAF,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sub-Saharan Africa,SSF,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sudan,SDN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Suriname,SUR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Sweden,SWE,493.4224,..,..,499.444690059301,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Switzerland,CHE,505.5058,..,..,495.276287968577,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Syrian Arab Republic,SYR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Tajikistan,TJK,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Tanzania,TZA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Thailand,THA,421.3373,..,..,425.813449977136,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Timor-Leste,TLS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Togo,TGO,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Tokelau,TKL,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Tonga,TON,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Trinidad and Tobago,TTO,424.5905,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Tunisia,TUN,386.4034,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Turkey,TUR,425.4895,..,..,468.299618695693,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Turkmenistan,TKM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Turks and Caicos Islands,TCA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Tuvalu,TUV,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Uganda,UGA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Ukraine,UKR,..,..,..,468.987742612404,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,United Arab Emirates,ARE,436.7311,..,..,433.636802667468,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,United Kingdom,GBR,509.2215,..,..,504.667473533585,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,United States,USA,496.2424,..,..,502.380032000921,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Upper middle income,UMC,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Uruguay,URY,435.363,..,..,425.812676624091,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Uzbekistan,UZB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Vanuatu,VUT,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Venezuela, RB",VEN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Vietnam,VNM,524.6445,..,..,543.384874714563,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Virgin Islands (U.S.),VIR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,West Bank and Gaza,PSE,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,World,WLD,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Yemen, Rep.",YEM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Zambia,ZMB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Zimbabwe,ZWE,..,..,..,..,..,..
PISA: Mean performance on the reading scale,LO.PISA.REA,Afghanistan,AFG,..,..,..,..,..,..
